Taxa
Phalacrocorax brasilianus
Pelecanus erythrorhynchos
Pelecanus occidentalis
Botaurus pinnatus
Botaurus lentiginosus
Ixobrychus exilis
Tigrisoma lineatum
Tigrisoma fasciatum
Tigrisoma mexicanum
Ardea herodias
Ardea alba
Syrigma sibilatrix
Egretta thula
Egretta caerulea
Egretta tricolor
Egretta rufescens
Bubulcus ibis
Butorides virescens
Butorides striata
Agamia agami
Nycticorax nycticorax
Nyctanassa violacea
Cochlearius cochlearius
Eudocimus albus
Plegadis falcinellus
Plegadis chihi
Mesembrinibis cayennensis
Phimosus infuscatus
Platalea ajaja
Sarcoramphus papa
Coragyps atratus
Cathartes aura
Cathartes burrovianus
Pandion haliaetus
Gampsonyx swainsonii
Elanus leucurus
Chondrohierax uncinatus
Leptodon cayanensis
Elanoides forficatus
Morphnus guianensis
Harpia harpyja
Spizaetus tyrannus
Spizaetus melanoleucus
Spizaetus ornatus
Harpagus bidentatus
Circus hudsonius
Accipiter poliogaster
Accipiter superciliosus
Accipiter striatus
Accipiter cooperii
Accipiter bicolor
Ictinia mississippiensis
Ictinia plumbea
Busarellus nigricollis
Geranospiza caerulescens
Rostrhamus sociabilis
Buteogallus anthracinus
Buteogallus meridionalis
Buteogallus urubitinga
Buteogallus solitarius
Morphnarchus princeps
Rupornis magnirostris
Parabuteo unicinctus
Geranoaetus albicaudatus
Pseudastur albicollis
Leucopternis semiplumbeus
Buteo plagiatus
Buteo nitidus
Buteo platypterus
Buteo brachyurus
Buteo swainsoni
Buteo albonotatus
Buteo jamaicensis
Tyto alba
Megascops clarkii
Megascops choliba
Megascops cooperi
Megascops guatemalae
Megascops centralis
Lophostrix cristata
Pulsatrix perspicillata
Bubo virginianus
Glaucidium costaricanum
Glaucidium griseiceps
Glaucidium brasilianum
Athene cunicularia
Ciccaba virgata
Ciccaba nigrolineata
Asio flammeus
Pseudoscops clamator
Aegolius ridgwayi
Trogon clathratus
Trogon massena
Trogon melanocephalus
Trogon bairdii
Trogon caligatus
Trogon rufus
Trogon elegans
Trogon collaris
Pharomachrus mocinno
Hylomanes momotula
Momotus lessonii 
Baryphthengus martii
Electron carinatum
Electron platyrhynchum
Eumomota superciliosa
Megaceryle  torquata
Megaceryle alcyon
Chloroceryle amazona
Chloroceryle aenea
Chloroceryle americana
Chloroceryle inda
Notharchus hyperrhynchus
Notharchus tectus
Malacoptila panamensis
Micromonacha lanceolata
Monasa morphoeus
Galbula ruficauda
Jacamerops aureus
Eubucco bourcierii
Semnornis frantzii
Aulacorhynchus prasinus
Pteroglossus torquatus
Pteroglossus frantzii
Selenidera spectabilis
Ramphastos sulfuratus
Ramphastos ambiguus
Picumnus olivaceus
Melanerpes formicivorus
Melanerpes chrysauchen
Melanerpes pucherani
Melanerpes rubricapillus
Melanerpes hoffmannii
Sphyrapicus varius
Dryobates villosus
Dryobates fumigatus
Dryobates kirkii
Piculus simplex
Colaptes rubiginosus
Celeus loricatus
Celeus castaneus
Dryocopus lineatus
Campephilus guatemalensis
Herpetotheres cachinnans
Micrastur ruficollis
Micrastur mirandollei
Micrastur semitorquatus
Ibycter americanus
Caracara cheriway
Milvago chimachima
Falco sparverius
Falco columbarius
Falco femoralis
Falco rufigularis
Falco deiroleucus
Falco peregrinus
Pyrrhura hoffmanni
Eupsittula nana
Eupsittula canicularis
Eupsittula pertinax
Ara macao
Ara ambiguus
Psittacara finschi
Bolborhynchus lineola
Brotogeris jugularis
Touit costaricensis
Pyrilia haematotis
Pionus menstruus
Pionus senilis
Amazona albifrons
Amazona autumnalis
Amazona farinosa
Amazona auropalliata
Amazona ochrocephala 
Cymbilaimus lineatus
Taraba major
Thamnophilus doliatus
Thamnophilus bridgesi
Thamnophilus atrinucha
Thamnistes anabatinus
Dysithamnus mentalis
