usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2484237,"Psarocolius wagleri (G.R.Gray, 1845)",Psarocolius wagleri,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Psarocolius,Psarocolius wagleri,1,44,212,729,6176,2484215,2484237,FALSE,Aves,NA,Psarocolius wagleri,796
2484246,"Psarocolius montezuma (Lesson, 1830)",Psarocolius montezuma,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Psarocolius,Psarocolius montezuma,1,44,212,729,6176,2484215,2484246,FALSE,Aves,NA,Psarocolius montezuma,797
5229817,"Cacicus uropygialis Lafresnaye, 1843",Cacicus uropygialis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Cacicus,Cacicus uropygialis,1,44,212,729,6176,2484110,5229817,FALSE,Aves,NA,Cacicus uropygialis,798
5229889,"Icterus prosthemelas (Strickland, 1850)",Icterus prosthemelas,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus prosthemelas,1,44,212,729,6176,2484282,5229889,FALSE,Aves,NA,Icterus prosthemelas,799
5229935,"Icterus spurius (Linnaeus, 1766)",Icterus spurius,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus spurius,1,44,212,729,6176,2484282,5229935,FALSE,Aves,NA,Icterus spurius,800
5229924,"Icterus chrysater (Lesson, 1844)",Icterus chrysater,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus chrysater,1,44,212,729,6176,2484282,5229924,FALSE,Aves,NA,Icterus chrysater,801
5229869,"Icterus mesomelas (Wagler, 1829)",Icterus mesomelas,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus mesomelas,1,44,212,729,6176,2484282,5229869,FALSE,Aves,NA,Icterus mesomelas,802
5229853,"Icterus pustulatus (Wagler, 1829)",Icterus pustulatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus pustulatus,1,44,212,729,6176,2484282,5229853,FALSE,Aves,NA,Icterus pustulatus,803
5229864,"Icterus bullockii (Swainson, 1827)",Icterus bullockii,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus bullockii,1,44,212,729,6176,2484282,5229864,FALSE,Aves,NA,Icterus bullockii,804
5229910,"Icterus pectoralis (Wagler, 1829)",Icterus pectoralis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus pectoralis,1,44,212,729,6176,2484282,5229910,FALSE,Aves,NA,Icterus pectoralis,805
2484340,"Icterus galbula (Linnaeus, 1758)",Icterus galbula,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus galbula,1,44,212,729,6176,2484282,2484340,FALSE,Aves,NA,Icterus galbula,806
9409198,"Agelaius phoeniceus (Linnaeus, 1766)",Agelaius phoeniceus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,1,44,212,729,6176,2484444,9409198,FALSE,Aves,NA,Agelaius phoeniceus,807
2484396,"Molothrus bonariensis (Gmelin, 1789)",Molothrus bonariensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Molothrus,Molothrus bonariensis,1,44,212,729,6176,2484385,2484396,FALSE,Aves,NA,Molothrus bonariensis,808
2484404,"Molothrus aeneus (Wagler, 1829)",Molothrus aeneus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Molothrus,Molothrus aeneus,1,44,212,729,6176,2484385,2484404,FALSE,Aves,NA,Molothrus aeneus,809
2484386,"Molothrus oryzivorus (Gmelin, 1788)",Molothrus oryzivorus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Molothrus,Molothrus oryzivorus,1,44,212,729,6176,2484385,2484386,FALSE,Aves,NA,Molothrus oryzivorus,810
2484434,"Dives dives (Deppe, 1830)",Dives dives,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Dives,Dives dives,1,44,212,729,6176,2484433,2484434,FALSE,Aves,NA,Dives dives,811
9476062,"Quiscalus mexicanus (Gmelin, 1788)",Quiscalus mexicanus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,1,44,212,729,6176,2484132,9476062,FALSE,Aves,NA,Quiscalus mexicanus,812
2484141,"Quiscalus nicaraguensis Salvin & Godman, 1891",Quiscalus nicaraguensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Quiscalus,Quiscalus nicaraguensis,1,44,212,729,6176,2484132,2484141,FALSE,Aves,NA,Quiscalus nicaraguensis,813
2489590,"Seiurus aurocapilla (Linnaeus, 1766)",Seiurus aurocapilla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Seiurus,Seiurus aurocapilla,1,44,212,729,5263,2489584,2489590,FALSE,Aves,NA,Seiurus aurocapilla,814
2489603,"Helmitheros vermivorum (J.F.Gmelin, 1789)",Helmitheros vermivorum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Helmitheros,Helmitheros vermivorum,1,44,212,729,5263,2489602,2489603,FALSE,Aves,NA,Helmitheros vermivorum,815
